ccode,year
346,2000
349,2000
350,2000
352,2000
355,2000
359,2000
360,2000
365,2000
366,2000
367,2000
368,2000
369,2000
370,2000
371,2000
372,2000
373,2000
375,2000
380,2000
385,2000
390,2000
395,2000
402,2000
403,2000
404,2000
411,2000
420,2000
432,2000
433,2000
434,2000
435,2000
436,2000
437,2000
438,2000
439,2000
450,2000
451,2000
452,2000
461,2000
471,2000
475,2000
481,2000
482,2000
483,2000
484,2000
490,2000
500,2000
501,2000
510,2000
516,2000
517,2000
520,2000
522,2000
530,2000
531,2000
540,2000
541,2000
551,2000
552,2000
553,2000
560,2000
565,2000
570,2000
571,2000
572,2000
580,2000
581,2000
590,2000
591,2000
600,2000
615,2000
616,2000
620,2000
625,2000
630,2000
640,2000
645,2000
651,2000
652,2000
660,2000
663,2000
666,2000
670,2000
679,2000
690,2000
692,2000
694,2000
696,2000
698,2000
700,2000
701,2000
702,2000
703,2000
704,2000
705,2000
710,2000
712,2000
713,2000
731,2000
732,2000
740,2000
750,2000
760,2000
770,2000
771,2000
775,2000
780,2000
781,2000
790,2000
800,2000
811,2000
812,2000
816,2000
820,2000
830,2000
835,2000
840,2000
850,2000
900,2000
910,2000
920,2000
935,2000
940,2000
946,2000
947,2000
950,2000
955,2000
970,2000
983,2000
986,2000
987,2000
990,2000
2,2001
20,2001
31,2001
40,2001
41,2001
42,2001
51,2001
52,2001
53,2001
54,2001
55,2001
56,2001
57,2001
58,2001
60,2001
70,2001
80,2001
90,2001
91,2001
92,2001
93,2001
94,2001
95,2001
100,2001
101,2001
110,2001
115,2001
130,2001
135,2001
140,2001
145,2001
150,2001
155,2001
160,2001
165,2001
200,2001
205,2001
210,2001
211,2001
212,2001
220,2001
221,2001
223,2001
225,2001
230,2001
232,2001
235,2001
255,2001
290,2001
305,2001
310,2001
316,2001
317,2001
325,2001
331,2001
338,2001
339,2001
343,2001
344,2001
345,2001
346,2001
349,2001
350,2001
352,2001
355,2001
359,2001
360,2001
365,2001
366,2001
367,2001
368,2001
369,2001
370,2001
371,2001
372,2001
373,2001
375,2001
380,2001
385,2001
390,2001
395,2001
402,2001
403,2001
404,2001
411,2001
420,2001
432,2001
433,2001
434,2001
435,2001
436,2001
437,2001
438,2001
439,2001
450,2001
451,2001
452,2001
461,2001
471,2001
475,2001
481,2001
482,2001
483,2001
484,2001
490,2001
500,2001
501,2001
510,2001
516,2001
517,2001
520,2001
522,2001
530,2001
531,2001
540,2001
541,2001
551,2001
552,2001
553,2001
560,2001
565,2001
570,2001
571,2001
572,2001
580,2001
581,2001
590,2001
591,2001
600,2001
615,2001
616,2001
620,2001
625,2001
630,2001
640,2001
645,2001
651,2001
652,2001
660,2001
663,2001
666,2001
670,2001
679,2001
690,2001
692,2001
694,2001
696,2001
698,2001
700,2001
701,2001
702,2001
703,2001
704,2001
705,2001
710,2001
712,2001
713,2001
731,2001
732,2001
740,2001
750,2001
760,2001
770,2001
771,2001
775,2001
780,2001
781,2001
790,2001
800,2001
811,2001
812,2001
816,2001
820,2001
830,2001
835,2001
840,2001
850,2001
900,2001
910,2001
920,2001
935,2001
940,2001
946,2001
947,2001
950,2001
955,2001
970,2001
983,2001
986,2001
987,2001
990,2001
2,2002
20,2002
31,2002
40,2002
41,2002
42,2002
51,2002
52,2002
53,2002
54,2002
55,2002
56,2002
57,2002
58,2002
60,2002
70,2002
80,2002
90,2002
91,2002
92,2002
93,2002
94,2002
95,2002
100,2002
101,2002
110,2002
115,2002
130,2002
135,2002
140,2002
145,2002
150,2002
155,2002
160,2002
165,2002
200,2002
205,2002
210,2002
211,2002
212,2002
220,2002
221,2002
223,2002
225,2002
230,2002
232,2002
235,2002
255,2002
290,2002
305,2002
310,2002
316,2002
317,2002
325,2002
331,2002
338,2002
339,2002
343,2002
344,2002
345,2002
346,2002
349,2002
350,2002
352,2002
355,2002
359,2002
360,2002
365,2002
366,2002
367,2002
368,2002
369,2002
370,2002
371,2002
372,2002
373,2002
375,2002
380,2002
385,2002
390,2002
395,2002
402,2002
403,2002
404,2002
411,2002
420,2002
432,2002
433,2002
434,2002
435,2002
436,2002
437,2002
438,2002
439,2002
450,2002
451,2002
452,2002
461,2002
471,2002
475,2002
481,2002
482,2002
483,2002
484,2002
490,2002
500,2002
501,2002
510,2002
516,2002
517,2002
520,2002
522,2002
530,2002
531,2002
540,2002
541,2002
551,2002
552,2002
553,2002
560,2002
565,2002
570,2002
571,2002
572,2002
580,2002
581,2002
590,2002
591,2002
600,2002
615,2002
616,2002
620,2002
625,2002
630,2002
640,2002
645,2002
651,2002
652,2002
660,2002
663,2002
666,2002
670,2002
679,2002
690,2002
692,2002
694,2002
696,2002
698,2002
700,2002
701,2002
702,2002
703,2002
704,2002
705,2002
710,2002
712,2002
713,2002
731,2002
732,2002
740,2002
750,2002
760,2002
770,2002
771,2002
775,2002
780,2002
781,2002
790,2002
800,2002
811,2002
812,2002
816,2002
820,2002
