ccode,year,ingo_uia,polity2,xrcomp,xropen,xconst,parcomp,physint,disap,kill,polpris,tort,injud,amnesty,pop,gdppc,rentspc,military,execrlc,trade_gdp,fdi_net_in,public_trial,fair_trial,final_decision,legislative_ck,structad,imfstruct,wbimfstruct,britcol,common,hr_law,cat_ratify,cpr_ratify,ythblgap,latent,latent_sd,cwar,iwar,aibr_lag,ainr_lag,avmdia_lag,hro_shaming_lag,physint_lag,amnesty_lag,disap_lag,kill_lag,polpris_lag,tort_lag,latent_lag
51,1995,6.180016653652572,9,3,4,7,4,5,2,1,2,0,2,3,7.851217499712121,8.41025142624208,0.0,0,3,4.712255333608022,2.53549003601074,1,1,0,-1,0,0,0,1,1,0,0,1,29.6000003814697,0.0166043536941453,0.211493942789086,0,0,0,2,0.0,0,5,1,2,1,2,0,-0.0488283280454327
51,1996,6.20050917404269,9,3,4,7,4,6,2,1,2,1,2,1,7.859042429612876,8.407670693379636,0.0,0,3,4.595808339323282,2.81433248519897,1,1,0,-1,0,0,0,1,1,0,0,1,29.2000007629395,0.342998846754792,0.221881313355146,0,0,0,0,0.0,0,5,3,2,1,2,0,0.0166043536941453
51,1997,6.192362489474872,9,3,4,7,4,6,2,1,2,1,2,2,7.866174032152173,8.404031212212999,0.0,0,3,4.510772980409221,2.72063064575195,1,1,0,-1,0,0,0,1,1,0,0,1,28.7999992370605,0.370328870389821,0.216900063731426,0,0,0,0,0.0,0,6,1,2,1,2,1,0.342998846754792
51,1998,6.19644412779452,9,3,4,7,4,6,2,1,2,1,2,3,7.872615198231198,8.431855322421539,0.0,0,3,4.08277537628408,4.22207164764404,1,1,0,-1,0,0,0,1,1,0,0,1,28.2999992370605,0.188306462265297,0.210735945828513,0,0,3,2,0.0,0,6,2,2,1,2,1,0.370328870389821
51,1999,6.194405391104672,9,3,4,7,4,6,2,1,2,1,2,3,7.878340995660169,8.420770392881185,0.0,0,3,4.15662653001033,5.93030691146851,1,1,0,-1,0,0,0,1,1,0,0,1,27.8999996185303,0.116494237928104,0.210902276883864,0,0,4,2,0.0,0,6,3,2,1,2,1,0.188306462265297
52,1985,5.697093486505405,9,3,4,7,4,7,2,2,2,1,2,1,7.061471578765757,9.107416884351773,8.05567316195877,0,1,4.110517095076439,0.0160476341843605,1,1,0,-1,0,0,0,1,1,0,0,1,31.5,1.62348068811634,0.305709898391044,0,0,2,0,1.0,0,8,4,2,2,2,2,1.60422548999381
52,1986,5.713732805509369,9,3,4,7,4,8,2,2,2,2,2,1,7.073413774879552,8.945902058154543,7.340907194639269,0,1,4.259427803852735,-0.303018003702164,1,1,0,-1,0,0,0,1,1,0,0,1,30.6000003814697,1.65758151874827,0.294649715815174,0,0,4,2,0.0,0,7,1,2,2,2,1,1.62348068811634
52,1987,5.820082930352362,9,3,4,7,4,8,2,2,2,2,2,1,7.082724876230466,8.924853222251471,7.090283418440332,0,3,4.19524863710832,0.690717279911041,1,1,0,-1,0,0,0,1,1,0,0,1,29.7000007629395,1.57310740721486,0.275660298840406,0,0,1,0,0.0,0,8,1,2,2,2,2,1.65758151874827
52,1988,5.908082938168931,9,3,4,7,4,7,2,2,2,1,2,2,7.088692544753899,8.90282287169029,6.766191363075287,0,3,4.292742620214282,1.39893317222595,1,1,0,-1,0,0,0,1,1,0,0,1,28.7999992370605,1.28276112736628,0.25748634892921,0,0,2,0,0.0,0,8,1,2,2,2,2,1.57310740721486
52,1989,5.988961416889864,9,3,4,7,4,7,2,2,2,1,2,1,7.090318473246073,8.932003827058862,6.908536650877686,0,3,4.351120457158009,3.44420289993286,1,1,0,-1,0,1,1,1,1,0,0,1,27.8999996185303,1.0822364052151,0.241234114298449,0,0,3,0,0.0,0,7,2,2,2,2,1,1.28276112736628
52,1990,6.0112671744041615,9,3,4,7,4,5,2,1,1,1,2,2,7.088742612762955,9.093939131201378,7.232201936335929,0,3,4.3034073055806665,2.15884470939636,1,1,0,-1,1,1,1,1,1,0,0,1,27.1000003814697,0.616472631042367,0.223296606487644,0,0,1,0,0.0,0,7,1,2,2,2,1,1.0822364052151
52,1991,6.0063531596017325,9,3,4,7,4,5,1,1,2,1,2,2,7.083991692120144,9.078097291977597,7.113029873269831,0,3,4.296606523020952,3.15768694877625,1,1,0,-1,0,0,0,1,1,0,0,1,27.0,0.453796320113916,0.220079275804922,0,0,1,0,0.0,0,5,2,2,1,1,1,0.616472631042367
