year,month,n_events,n_dissent_events,frac_dissent_events,pi,eta
2002.0,1.0,63823.0,114.0,0.001786189931529386,0.14052001342233292,-4.060458426500106
2002.0,2.0,56945.0,98.0,0.0017209588199139521,0.142805783878048,-4.035955589443566
2002.0,3.0,59279.0,124.0,0.002091803168069637,0.15347575235609354,-3.9094174489170834
2002.0,4.0,63834.0,140.0,0.002193188582886863,0.15342926484576822,-3.908748927978103
2002.0,5.0,61063.0,104.0,0.0017031590324746574,0.1368286789915592,-4.0736026175315105
2002.0,6.0,53944.0,105.0,0.0019464629986652826,0.15003491480421266,-3.958047113438586
2002.0,7.0,62736.0,104.0,0.0016577403723539914,0.14463811342809973,-4.010428063568811
2002.0,8.0,53453.0,87.0,0.001627598076815146,0.15492287619626435,-3.8880133865415147
2002.0,9.0,56794.0,146.0,0.002570694087403599,0.1563027701123084,-3.869494479176612
2002.0,10.0,64038.0,106.0,0.0016552671851088416,0.1487826327008261,-3.964241797091858
2002.0,11.0,53948.0,89.0,0.001649736783569363,0.16057361805505924,-3.8241354618732437
2002.0,12.0,43725.0,89.0,0.0020354488279016583,0.1813489469149999,-3.5172836676776456
2003.0,1.0,52602.0,125.0,0.00237633550055131,0.16030707849913145,-3.760569897670933
2003.0,2.0,47426.0,117.0,0.0024670012229578713,0.16500055399260696,-3.719165521512159
2003.0,3.0,54537.0,145.0,0.002658745438876359,0.1704407705456024,-3.694601653144272
2003.0,4.0,52549.0,103.0,0.001960075358237074,0.17720649866371815,-3.6075730191181736
2003.0,5.0,49758.0,86.0,0.0017283652879938904,0.167781669131812,-3.709160202658747
2003.0,6.0,45726.0,128.0,0.002799282683812273,0.16471668220375135,-3.703406191246708
2003.0,7.0,40706.0,123.0,0.0030216675674347763,0.1666967024965181,-3.635109788243333
2003.0,8.0,33343.0,96.0,0.00287916504213778,0.17774318549864915,-3.482319090652991
2003.0,9.0,19159.0,95.0,0.00495850514118691,0.20755921853576687,-2.9544498817206075
2003.0,10.0,17161.0,128.0,0.00745877279878795,0.1973253262609297,-3.0147970425335715
2003.0,11.0,16046.0,141.0,0.008787236694503302,0.20111868202400474,-2.921517546423242
2003.0,12.0,28649.0,125.0,0.0043631540367901145,0.2120136971892921,-2.9576687662449914
2004.0,1.0,35650.0,116.0,0.003253856942496494,0.1878239052839112,-3.3206970232970607
2004.0,2.0,35046.0,163.0,0.004651030074758888,0.18088184443491442,-3.437296725613632
2004.0,3.0,38748.0,183.0,0.004722824403840198,0.17379233869534702,-3.4787685340004764
2004.0,4.0,37004.0,218.0,0.005891254999459518,0.1754179387276165,-3.4089143412726854
2004.0,5.0,36425.0,229.0,0.006286890871654084,0.17607780477338356,-3.4385792783096227
2004.0,6.0,35964.0,257.0,0.007146034923812702,0.18550918224612206,-3.3137549959967463
2004.0,7.0,35725.0,190.0,0.005318404478656403,0.17479950566503266,-3.401162572308182
2004.0,8.0,35893.0,226.0,0.006296492352269245,0.1793112194713618,-3.4098624843510406
2004.0,9.0,35877.0,302.0,0.008417649190289042,0.1670370682360356,-3.4820585712704992
2004.0,10.0,35940.0,185.0,0.005147468002225932,0.1739307007162414,-3.448899008305847
2004.0,11.0,35240.0,278.0,0.007888762769580024,0.18740953271138794,-3.280935946230289
2004.0,12.0,30448.0,208.0,0.006831318970047294,0.19606057470323687,-3.2018806398755566
